Reward from homework,Course relevance,Interdisciplinary learning,Cooperation and Discussion,Homework numbers,Scale,Average time spent,Homework deadlines,Step by step,Feeling,Difficulty of implementation,Difficulty in understanding,Student qualifications,Student concentration,Student responsibility,Research relevance,answer,reward,time_cost,feel,ability
9,moderately correlated,uncertain,always,1-2,small,1-3 hr,one weeks,roughly,interested,simple,very easy,between low/middle,low,between middle/high,middle,1,8,-6,1,-2
3,highly correlated,often,always,1-2,medium,<1 hr,three days,fifty-fifty,impatient,moderate,simple,between middle/high,between low/middle,between middle/high,low,1,10,-6,1,-1
10,no correlation,often,always,1-2,small,1-3 hr,one weeks,no,motivated,very easy,difficult,between low/middle,high,between middle/high,high,1,8,-6,-1,4
10,highly correlated,often,without cooperation,1-2,small,1-3 hr,one weeks,roughly,interested,moderate,difficult,middle,high,high,low,1,8,-6,5,2
9,highly correlated,a little,always,3-4,small,<1 hr,one weeks,fully qualified,worried,super hard,difficult,low,between middle/high,high,between low/middle,1,12,-6,-1,0
10,highly correlated,often,often,1-2,small,1-3 hr,one weeks,fifty-fifty,confused,simple,simple,low,low,between middle/high,low,1,14,-6,-1,-5
8,highly correlated,often,always,1-2,small to medium,<1 hr,one weeks,no,impatient,difficult,super hard,middle,high,high,high,1,14,-6,-4,6
8,moderately correlated,a little,always,1-2,small to medium,<1 hr,three days,fifty-fifty,impatient,simple,difficult,between low/middle,between middle/high,high,high,1,8,-7,0,4
8,highly correlated,often,always,3-4,small,<1 hr,one weeks,fifty-fifty,interested,simple,simple,low,between middle/high,high,low,1,14,-6,1,-1
9,moderately correlated,fifty-fifty,often,1-2,small,1-3 hr,one weeks,fully qualified,inspired,difficult,difficult,low,between middle/high,high,low,1,10,-6,6,-1
10,highly correlated,often,often,3-4,small,<1 hr,three days,uncertain,bored,moderate,difficult,middle,middle,between middle/high,middle,1,14,-7,0,1
6,highly correlated,often,often,1-2,small to medium,1-3 hr,three days,fifty-fifty,inspired,simple,super hard,between middle/high,middle,middle,high,1,10,-6,0,3
5,highly correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,no,worried,simple,super hard,between middle/high,between low/middle,low,high,1,10,-6,-6,0
6,moderately correlated,often,always,3-4,small,<1 hr,three days,fully qualified,impatient,super hard,difficult,low,low,between low/middle,middle,1,10,-7,0,-5
3,highly correlated,fifty-fifty,always,1-2,medium,<1 hr,three days,uncertain,interested,super hard,super hard,between low/middle,between middle/high,low,low,1,8,-6,-4,-4
10,highly correlated,uncertain,often,1-2,small,<1 hr,two weeks,fifty-fifty,worried,simple,moderate,low,middle,high,middle,1,8,-6,0,0
10,moderately correlated,often,common,1-2,small to medium,<1 hr,one weeks,uncertain,inspired,very easy,super hard,between low/middle,low,between middle/high,middle,1,10,-6,-2,-2
8,moderately correlated,a little,always,1-2,medium,<1 hr,three days,fully qualified,impatient,simple,difficult,between low/middle,between middle/high,between low/middle,middle,1,8,-6,2,-1
9,highly correlated,often,seldom,1-2,small,1-3 hr,one weeks,fifty-fifty,impatient,difficult,very easy,low,high,between low/middle,between low/middle,1,10,-6,-1,-2
10,moderately correlated,often,often,3-4,small,<1 hr,one weeks,roughly,rewarding,difficult,super hard,high,between middle/high,between middle/high,low,1,12,-6,2,2
5,moderately correlated,often,often,1-2,small,<1 hr,one weeks,roughly,rewarding,very easy,super hard,high,between low/middle,low,low,1,8,-7,0,-3
8,highly correlated,often,seldom,1-2,small to medium,1-3 hr,three days,fully qualified,interested,very easy,difficult,between middle/high,between middle/high,low,high,1,8,-6,3,2
4,highly correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,roughly,confused,super hard,difficult,high,high,low,between middle/high,1,8,-6,-1,3
10,highly correlated,fifty-fifty,seldom,1-2,small,<1 hr,three days,roughly,interested,simple,very easy,between middle/high,between middle/high,high,high,1,8,-8,1,6
9,moderately correlated,often,always,3-4,small to medium,<1 hr,three days,uncertain,rewarding,very easy,difficult,low,between low/middle,low,between middle/high,1,14,-6,1,-4
6,highly correlated,often,often,1-2,small to medium,<1 hr,three days,fifty-fifty,worried,super hard,very easy,high,high,low,between middle/high,1,10,-7,-5,3
5,highly correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,no,bored,super hard,very easy,low,between low/middle,middle,middle,1,10,-6,-7,-3
6,moderately correlated,fifty-fifty,always,1-2,medium,<1 hr,three days,no,motivated,simple,very easy,low,between middle/high,between middle/high,between low/middle,1,8,-6,-2,-1
6,highly correlated,fifty-fifty,often,3-4,small,<1 hr,three days,fully qualified,confused,moderate,moderate,high,high,between middle/high,middle,1,8,-7,5,5
10,highly correlated,often,always,1-2,small,1-3 hr,one weeks,fifty-fifty,interested,simple,moderate,high,between low/middle,between middle/high,between low/middle,1,16,-6,3,1
10,highly correlated,uncertain,often,1-2,small,3-5 hr,three days,roughly,impatient,super hard,moderate,low,middle,between low/middle,between middle/high,1,8,-6,0,-2
9,moderately correlated,often,always,3-4,small,<1 hr,three days,fifty-fifty,rewarding,very easy,difficult,low,between low/middle,middle,middle,1,14,-7,2,-3
10,moderately correlated,often,common,1-2,small,1-3 hr,three days,fifty-fifty,impatient,difficult,very easy,between low/middle,between middle/high,between low/middle,between low/middle,1,10,-7,-1,-2
1,highly correlated,often,always,3-4,small,<1 hr,three days,roughly,inspired,very easy,simple,high,middle,low,high,1,8,-7,2,2
9,highly correlated,fifty-fifty,always,1-2,small,<1 hr,one weeks,roughly,confused,difficult,difficult,between low/middle,high,between middle/high,between middle/high,1,14,-7,2,3
7,highly correlated,fifty-fifty,often,1-2,small,3-5 hr,three days,fifty-fifty,worried,difficult,moderate,low,between low/middle,middle,low,1,10,-6,1,-5
10,moderately correlated,often,always,1-2,small,<1 hr,three days,no,impatient,difficult,very easy,low,low,middle,middle,1,14,-8,-3,-4
9,modestly correlated,fifty-fifty,always,1-2,small,<1 hr,two weeks,uncertain,bored,super hard,very easy,between low/middle,low,low,between middle/high,1,8,-6,-6,-4
9,highly correlated,a little,often,1-2,small,<1 hr,one weeks,roughly,interested,very easy,super hard,between low/middle,between middle/high,between middle/high,middle,1,10,-7,-1,1
10,highly correlated,fifty-fifty,often,1-2,small to medium,1-3 hr,three days,no,motivated,simple,simple,low,between low/middle,middle,between low/middle,1,12,-6,-1,-4
9,moderately correlated,fifty-fifty,always,1-2,small,1-3 hr,three days,no,rewarding,super hard,moderate,between middle/high,high,high,between low/middle,1,12,-7,0,4
8,highly correlated,uncertain,always,1-2,small,1-3 hr,three days,uncertain,bored,simple,difficult,high,between low/middle,low,between middle/high,1,8,-7,-2,0
10,moderately correlated,fifty-fifty,often,1-2,medium,<1 hr,three days,uncertain,interested,difficult,moderate,high,middle,low,between middle/high,1,10,-6,3,1
7,highly correlated,uncertain,always,1-2,small to medium,<1 hr,three days,uncertain,bored,super hard,moderate,high,middle,low,between low/middle,1,8,-7,-3,-1
7,highly correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,fully qualified,rewarding,super hard,very easy,middle,low,between middle/high,low,1,12,-6,1,-3
7,moderately correlated,fifty-fifty,always,1-2,small to medium,<1 hr,three days,no,inspired,super hard,moderate,low,between low/middle,between low/middle,between low/middle,1,10,-7,0,-5
10,moderately correlated,often,seldom,1-2,small to medium,1-3 hr,three days,fully qualified,interested,super hard,difficult,high,high,low,between middle/high,1,8,-6,2,3
6,highly correlated,fifty-fifty,always,3-4,small,<1 hr,three days,uncertain,rewarding,difficult,super hard,low,middle,middle,high,1,10,-7,0,0
9,highly correlated,often,often,3-4,small,<1 hr,one weeks,no,inspired,difficult,simple,middle,middle,between middle/high,middle,1,14,-6,1,1
7,moderately correlated,fifty-fifty,always,1-2,small,<1 hr,three days,fifty-fifty,worried,very easy,very easy,middle,low,low,low,1,10,-8,-4,-6
7,highly correlated,fifty-fifty,often,1-2,small to medium,1-3 hr,three days,fifty-fifty,worried,difficult,very easy,middle,middle,middle,between middle/high,1,10,-6,-2,1
10,moderately correlated,a little,often,1-2,small,3-5 hr,three days,roughly,worried,moderate,simple,low,low,low,high,1,8,-6,1,-4
3,highly correlated,often,often,1-2,small to medium,<1 hr,three days,uncertain,worried,super hard,simple,high,between low/middle,between low/middle,middle,1,8,-7,-5,0
5,highly correlated,a little,always,3-4,small to medium,<1 hr,three days,fully qualified,impatient,difficult,super hard,low,between middle/high,between middle/high,middle,1,8,-6,0,0
6,moderately correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,no,worried,moderate,moderate,low,high,high,middle,1,8,-6,0,2
8,highly correlated,often,often,1-2,small,1-3 hr,one weeks,no,rewarding,super hard,difficult,middle,between low/middle,high,middle,1,12,-6,-1,1
10,highly correlated,uncertain,often,1-2,small,<1 hr,one weeks,no,inspired,super hard,moderate,high,between low/middle,low,between middle/high,1,8,-7,0,0
1,highly correlated,often,always,1-2,small,<1 hr,one weeks,no,impatient,difficult,moderate,low,between middle/high,low,middle,1,8,-7,0,-3
9,modestly correlated,often,always,1-2,small,1-3 hr,three days,fifty-fifty,confused,difficult,moderate,low,between low/middle,between middle/high,between middle/high,1,10,-7,2,-1
10,highly correlated,fifty-fifty,always,1-2,small to medium,1-3 hr,three days,fully qualified,worried,simple,simple,between low/middle,middle,between low/middle,high,1,14,-6,0,0
9,highly correlated,a little,common,3-4,small to medium,<1 hr,three days,roughly,interested,difficult,moderate,high,between low/middle,between low/middle,between low/middle,1,8,-6,5,-1
8,moderately correlated,often,common,3-4,small to medium,<1 hr,three days,no,rewarding,difficult,moderate,low,middle,between low/middle,between low/middle,1,8,-6,3,-4
10,moderately correlated,often,seldom,1-2,small,1-3 hr,three days,no,interested,super hard,super hard,between low/middle,high,low,low,1,8,-7,-5,-3
10,highly correlated,often,often,3-4,small,<1 hr,three days,no,worried,very easy,difficult,high,between low/middle,high,between low/middle,1,14,-7,-4,2
10,no correlation,often,always,1-2,small to medium,<1 hr,three days,roughly,impatient,super hard,difficult,high,high,high,middle,1,8,-7,-1,6
8,highly correlated,often,common,3-4,small,1-3 hr,three days,fifty-fifty,inspired,difficult,moderate,between low/middle,middle,between middle/high,between low/middle,1,10,-6,5,-1
10,highly correlated,fifty-fifty,common,1-2,small,<1 hr,three days,fully qualified,inspired,simple,simple,high,low,between low/middle,between low/middle,1,10,-8,4,-2
6,highly correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,uncertain,impatient,super hard,super hard,high,between middle/high,between middle/high,high,1,10,-6,-6,6
10,modestly correlated,often,always,1-2,small,1-3 hr,one weeks,fifty-fifty,worried,simple,moderate,middle,between middle/high,middle,high,1,10,-6,0,3
10,highly correlated,often,always,1-2,medium,<1 hr,three days,fifty-fifty,motivated,difficult,super hard,low,between middle/high,low,middle,1,16,-6,0,-3
8,highly correlated,often,always,1-2,small,1-3 hr,three days,roughly,interested,simple,very easy,high,high,low,between low/middle,1,14,-7,1,1
10,highly correlated,fifty-fifty,common,3-4,small,<1 hr,one weeks,fully qualified,rewarding,moderate,super hard,between low/middle,between middle/high,middle,middle,1,10,-6,4,0
9,moderately correlated,fifty-fifty,always,1-2,medium,<1 hr,three days,uncertain,worried,very easy,super hard,low,high,high,between middle/high,1,12,-6,-6,3
7,highly correlated,a little,always,3-4,small,1-3 hr,three days,no,interested,super hard,very easy,high,middle,between low/middle,between middle/high,1,10,-6,-4,2
9,modestly correlated,often,often,1-2,small,3-5 hr,three days,fully qualified,motivated,simple,difficult,low,high,middle,low,1,8,-6,4,-2
8,highly correlated,often,always,1-2,small,1-3 hr,three days,roughly,motivated,simple,super hard,between low/middle,high,high,between middle/high,1,14,-7,0,4
3,moderately correlated,often,always,1-2,small to medium,1-3 hr,three days,uncertain,interested,very easy,simple,middle,middle,low,low,1,8,-6,-1,-4
9,no correlation,often,always,1-2,medium,<1 hr,three days,fully qualified,motivated,simple,difficult,low,between low/middle,between low/middle,high,1,8,-6,4,-2
9,moderately correlated,fifty-fifty,common,1-2,small,<1 hr,three days,fifty-fifty,worried,super hard,simple,between low/middle,middle,between low/middle,high,1,8,-8,-4,0
4,highly correlated,often,often,1-2,small,<1 hr,three days,uncertain,bored,difficult,difficult,middle,high,between middle/high,between middle/high,1,8,-8,-1,4
9,modestly correlated,often,often,1-2,small,1-3 hr,one weeks,roughly,confused,very easy,very easy,between middle/high,between low/middle,low,high,1,8,-6,-2,0
7,highly correlated,fifty-fifty,common,3-4,small,<1 hr,one weeks,uncertain,impatient,very easy,moderate,between middle/high,middle,low,middle,1,8,-6,-1,-1
10,no correlation,often,always,1-2,small,<1 hr,two weeks,fully qualified,worried,very easy,very easy,high,middle,between low/middle,middle,1,8,-6,-2,1
7,highly correlated,often,always,1-2,medium,<1 hr,three days,fifty-fifty,worried,simple,super hard,middle,low,between middle/high,between middle/high,1,14,-6,-4,0
6,highly correlated,often,common,3-4,small,1-3 hr,three days,roughly,rewarding,difficult,super hard,middle,between middle/high,between middle/high,low,1,8,-6,2,0
10,highly correlated,fifty-fifty,always,1-2,small,<1 hr,one weeks,fifty-fifty,motivated,very easy,very easy,high,between low/middle,high,between low/middle,1,14,-7,-1,2
10,modestly correlated,often,always,1-2,small to medium,<1 hr,three days,roughly,rewarding,super hard,difficult,between middle/high,between middle/high,low,between middle/high,1,10,-7,2,1
7,moderately correlated,fifty-fifty,often,1-2,small,<1 hr,one weeks,fully qualified,motivated,moderate,super hard,between low/middle,low,low,middle,1,8,-7,3,-5
6,moderately correlated,fifty-fifty,always,1-2,medium,<1 hr,three days,fifty-fifty,motivated,simple,difficult,middle,low,middle,middle,1,8,-6,2,-2
9,moderately correlated,often,seldom,3-4,small,<1 hr,three days,uncertain,interested,difficult,moderate,between middle/high,between low/middle,between low/middle,between middle/high,1,8,-7,3,0
4,highly correlated,often,always,1-2,small,1-3 hr,three days,uncertain,interested,moderate,simple,high,between low/middle,middle,middle,1,10,-7,2,1
9,highly correlated,fifty-fifty,common,1-2,small,<1 hr,two weeks,uncertain,motivated,simple,moderate,low,low,middle,high,1,10,-6,2,-2
9,moderately correlated,uncertain,always,1-2,medium,<1 hr,three days,uncertain,inspired,very easy,very easy,between middle/high,high,low,between low/middle,1,8,-6,-1,0
3,highly correlated,often,always,1-2,small,<1 hr,one weeks,uncertain,worried,very easy,moderate,low,between middle/high,low,low,1,10,-7,-2,-5
1,highly correlated,often,always,1-2,small,1-3 hr,one weeks,fifty-fifty,worried,simple,very easy,between low/middle,between low/middle,between low/middle,between middle/high,1,8,-6,-3,-2
7,highly correlated,a little,often,1-2,small,1-3 hr,three days,uncertain,interested,difficult,moderate,high,between middle/high,middle,between low/middle,1,8,-7,3,2
10,highly correlated,a little,common,3-4,small,1-3 hr,three days,roughly,interested,difficult,super hard,high,between low/middle,low,high,1,8,-6,1,1
7,highly correlated,a little,often,1-2,small,3-5 hr,three days,fully qualified,impatient,super hard,super hard,between low/middle,low,between low/middle,middle,1,8,-6,-3,-4
10,moderately correlated,a little,always,1-2,small,<1 hr,three days,fifty-fifty,rewarding,super hard,moderate,middle,low,low,low,1,10,-8,2,-6
10,moderately correlated,fifty-fifty,often,1-2,small to medium,<1 hr,one weeks,uncertain,interested,difficult,super hard,middle,between low/middle,middle,middle,1,10,-6,-1,-1
9,moderately correlated,often,often,1-2,small,1-3 hr,one weeks,fifty-fifty,impatient,moderate,moderate,middle,high,low,middle,1,12,-6,3,0
10,moderately correlated,often,always,1-2,small,<1 hr,one weeks,fully qualified,motivated,moderate,moderate,middle,between middle/high,high,between middle/high,1,14,-7,7,4
9,highly correlated,often,without cooperation,3-4,small,1-3 hr,three days,fully qualified,impatient,simple,simple,between low/middle,high,high,between low/middle,1,8,-6,1,2
8,highly correlated,uncertain,always,1-2,small,1-3 hr,three days,uncertain,bored,super hard,super hard,between low/middle,low,between middle/high,high,1,8,-7,-7,0
5,highly correlated,often,always,1-2,small,1-3 hr,one weeks,no,bored,very easy,moderate,low,between middle/high,between low/middle,low,1,12,-6,-3,-4
9,modestly correlated,fifty-fifty,always,1-2,small to medium,<1 hr,three days,fifty-fifty,interested,very easy,moderate,high,between low/middle,between middle/high,high,1,8,-7,2,4
4,moderately correlated,often,always,1-2,small to medium,1-3 hr,three days,roughly,rewarding,very easy,difficult,low,between low/middle,between middle/high,low,1,8,-6,3,-4
6,highly correlated,often,often,1-2,small,1-3 hr,three days,fifty-fifty,interested,moderate,moderate,between middle/high,between middle/high,between middle/high,low,1,10,-7,5,1
9,moderately correlated,often,often,1-2,small,1-3 hr,three days,fully qualified,interested,difficult,difficult,low,middle,between middle/high,between middle/high,1,12,-7,5,0
4,highly correlated,often,always,1-2,small to medium,<1 hr,three days,roughly,bored,simple,very easy,middle,middle,middle,middle,1,10,-7,-2,0
5,moderately correlated,often,always,1-2,small,1-3 hr,one weeks,roughly,inspired,moderate,difficult,middle,between low/middle,middle,high,1,10,-6,6,1
3,highly correlated,fifty-fifty,always,1-2,small,<1 hr,three days,fifty-fifty,impatient,difficult,simple,between low/middle,middle,between low/middle,between middle/high,1,8,-8,0,-1
10,moderately correlated,often,always,3-4,small to medium,<1 hr,three days,fully qualified,motivated,difficult,simple,high,between low/middle,high,high,1,14,-6,4,5
8,highly correlated,fifty-fifty,often,1-2,small to medium,<1 hr,one weeks,fifty-fifty,confused,moderate,moderate,middle,low,between low/middle,high,1,10,-6,3,-1
5,highly correlated,often,always,1-2,small,<1 hr,three days,roughly,bored,very easy,super hard,between low/middle,between middle/high,high,middle,1,12,-8,-4,2
10,highly correlated,fifty-fifty,often,1-2,small,1-3 hr,one weeks,no,impatient,very easy,moderate,between low/middle,between low/middle,middle,low,1,12,-6,-2,-4
8,moderately correlated,often,often,1-2,small,<1 hr,one weeks,uncertain,motivated,simple,moderate,high,high,high,low,1,10,-7,2,4
9,highly correlated,often,always,1-2,small to medium,<1 hr,three days,uncertain,worried,very easy,simple,low,middle,between middle/high,between middle/high,1,16,-7,-4,0
10,highly correlated,often,always,1-2,small,3-5 hr,three days,uncertain,confused,super hard,very easy,middle,low,high,high,1,16,-6,-5,2
7,highly correlated,fifty-fifty,common,1-2,small,1-3 hr,three days,fully qualified,bored,super hard,very easy,middle,low,middle,middle,1,8,-7,-3,-2
10,highly correlated,fifty-fifty,often,1-2,small,1-3 hr,three days,fifty-fifty,impatient,difficult,difficult,between low/middle,high,between middle/high,between low/middle,1,12,-7,1,1
6,highly correlated,fifty-fifty,always,1-2,small,<1 hr,three days,no,confused,moderate,moderate,between low/middle,high,between middle/high,between low/middle,1,10,-8,1,1
9,moderately correlated,a little,always,3-4,small,<1 hr,one weeks,fully qualified,motivated,simple,simple,between low/middle,low,high,between middle/high,1,10,-6,3,0
7,moderately correlated,fifty-fifty,always,3-4,small,1-3 hr,three days,fifty-fifty,worried,simple,moderate,between middle/high,low,between low/middle,high,1,10,-6,0,0
5,moderately correlated,often,often,1-2,small to medium,<1 hr,three days,uncertain,rewarding,difficult,difficult,between low/middle,between middle/high,high,between middle/high,1,8,-7,3,3
10,moderately correlated,a little,always,1-2,small,<1 hr,one weeks,fifty-fifty,worried,difficult,difficult,high,high,between middle/high,between middle/high,1,10,-7,0,6
7,moderately correlated,a little,always,1-2,small to medium,<1 hr,three days,fifty-fifty,confused,super hard,moderate,high,middle,between middle/high,middle,1,8,-7,-1,3
7,highly correlated,a little,always,1-2,small,<1 hr,three days,fifty-fifty,inspired,super hard,moderate,middle,between middle/high,high,middle,1,10,-8,2,3
7,highly correlated,fifty-fifty,often,1-2,small,<1 hr,three days,uncertain,confused,moderate,difficult,low,middle,middle,low,1,10,-8,1,-4
4,highly correlated,fifty-fifty,always,1-2,small,3-5 hr,three days,roughly,inspired,simple,very easy,high,low,high,high,1,8,-6,2,4
8,highly correlated,often,often,1-2,medium,<1 hr,three days,fully qualified,bored,moderate,super hard,between low/middle,low,between middle/high,low,1,12,-6,0,-4
9,moderately correlated,a little,always,1-2,small,3-5 hr,three days,roughly,interested,moderate,super hard,low,high,between low/middle,between middle/high,1,10,-6,2,0
10,moderately correlated,fifty-fifty,common,1-2,medium,<1 hr,three days,fifty-fifty,motivated,difficult,moderate,low,low,between middle/high,middle,1,8,-6,4,-3
7,moderately correlated,a little,always,3-4,small,1-3 hr,three days,roughly,bored,super hard,difficult,between low/middle,low,low,low,1,8,-6,-2,-7
8,highly correlated,fifty-fifty,always,1-2,small,1-3 hr,one weeks,roughly,rewarding,very easy,difficult,between low/middle,between low/middle,high,high,1,12,-6,3,2
4,highly correlated,often,always,3-4,small,<1 hr,three days,no,interested,very easy,difficult,between low/middle,between middle/high,high,middle,1,10,-7,-1,2
8,moderately correlated,often,always,1-2,small to medium,<1 hr,one weeks,uncertain,bored,difficult,moderate,between middle/high,between middle/high,low,between low/middle,1,12,-6,0,-1
7,moderately correlated,a little,always,1-2,small to medium,<1 hr,three days,fully qualified,bored,very easy,difficult,low,between low/middle,low,middle,1,8,-7,0,-5
9,highly correlated,uncertain,often,3-4,small,1-3 hr,three days,no,worried,very easy,simple,high,low,between low/middle,between low/middle,1,8,-6,-5,-2
3,highly correlated,fifty-fifty,always,1-2,small,1-3 hr,three days,fully qualified,motivated,super hard,super hard,between low/middle,between low/middle,low,low,1,8,-7,-1,-6
8,highly correlated,uncertain,always,1-2,small,<1 hr,one weeks,fully qualified,inspired,moderate,simple,high,between low/middle,high,low,1,8,-7,6,1
9,no correlation,often,always,3-4,small,<1 hr,three days,roughly,rewarding,very easy,very easy,between middle/high,low,low,between low/middle,1,8,-7,1,-4
6,highly correlated,often,often,1-2,small to medium,<1 hr,three days,roughly,rewarding,moderate,moderate,between middle/high,middle,high,between middle/high,1,10,-7,7,4
10,moderately correlated,often,always,3-4,small,1-3 hr,three days,uncertain,inspired,very easy,moderate,low,between low/middle,high,middle,1,14,-6,2,-1
6,moderately correlated,often,often,3-4,small,<1 hr,one weeks,fully qualified,motivated,simple,simple,low,between middle/high,between low/middle,low,1,8,-6,3,-4
10,highly correlated,a little,often,1-2,small to medium,<1 hr,one weeks,no,rewarding,moderate,super hard,low,high,between middle/high,high,1,10,-6,0,3
6,highly correlated,a little,always,1-2,medium,<1 hr,three days,no,interested,moderate,very easy,between low/middle,between middle/high,high,between middle/high,1,8,-6,0,3
8,modestly correlated,often,always,1-2,small,<1 hr,two weeks,fifty-fifty,interested,simple,moderate,low,low,high,between middle/high,1,8,-6,3,-1
9,no correlation,often,always,3-4,small,<1 hr,one weeks,roughly,motivated,simple,difficult,low,between low/middle,between middle/high,between low/middle,1,8,-6,3,-3
6,highly correlated,a little,always,1-2,small,3-5 hr,three days,uncertain,impatient,very easy,very easy,between middle/high,high,low,between low/middle,1,8,-6,-4,0
9,moderately correlated,a little,often,1-2,small,3-5 hr,three days,no,confused,simple,moderate,between low/middle,middle,between middle/high,between low/middle,1,8,-6,-1,-1
10,modestly correlated,often,always,1-2,small,<1 hr,two weeks,fifty-fifty,bored,very easy,super hard,between low/middle,between middle/high,between middle/high,between low/middle,1,10,-6,-5,0
7,moderately correlated,a little,always,1-2,small,3-5 hr,three days,fifty-fifty,bored,simple,simple,between low/middle,high,low,middle,1,8,-6,-2,-1
7,modestly correlated,often,always,1-2,medium,<1 hr,three days,roughly,motivated,very easy,simple,between low/middle,high,middle,middle,1,8,-6,1,1
8,modestly correlated,often,always,1-2,small to medium,<1 hr,three days,fifty-fifty,inspired,simple,very easy,between low/middle,low,middle,between middle/high,1,8,-7,1,-2
6,highly correlated,often,always,1-2,small,1-3 hr,three days,fifty-fifty,confused,difficult,difficult,high,between low/middle,middle,high,1,12,-7,1,3
9,moderately correlated,often,common,1-2,small to medium,<1 hr,three days,no,worried,super hard,very easy,middle,between low/middle,low,low,1,10,-7,-7,-5
8,highly correlated,fifty-fifty,often,1-2,small,<1 hr,one weeks,fifty-fifty,inspired,moderate,difficult,high,between middle/high,between low/middle,between middle/high,1,10,-7,5,3
9,highly correlated,often,seldom,3-4,small,<1 hr,three days,roughly,interested,super hard,simple,between middle/high,high,between middle/high,low,1,10,-7,0,2
9,highly correlated,fifty-fifty,seldom,3-4,small,<1 hr,three days,roughly,rewarding,simple,super hard,high,between low/middle,low,between low/middle,1,8,-7,1,-2
10,highly correlated,fifty-fifty,often,1-2,medium,<1 hr,three days,uncertain,inspired,simple,simple,high,between middle/high,between middle/high,low,1,12,-6,1,2
7,moderately correlated,often,always,1-2,medium,<1 hr,three days,fifty-fifty,worried,super hard,difficult,between middle/high,high,middle,between low/middle,1,12,-6,-3,2
7,moderately correlated,often,often,3-4,small to medium,<1 hr,three days,fully qualified,rewarding,simple,difficult,between middle/high,high,high,low,1,10,-6,5,3
10,highly correlated,often,often,3-4,small to medium,<1 hr,three days,fully qualified,inspired,simple,very easy,between low/middle,high,low,between low/middle,1,14,-6,3,-2
10,moderately correlated,uncertain,always,1-2,small to medium,<1 hr,three days,roughly,rewarding,super hard,difficult,high,high,low,between middle/high,1,8,-7,2,3
8,moderately correlated,fifty-fifty,always,1-2,small to medium,<1 hr,three days,uncertain,impatient,simple,difficult,between middle/high,high,high,high,1,10,-7,-1,7
10,moderately correlated,often,always,1-2,small,1-3 hr,three days,uncertain,inspired,super hard,moderate,middle,middle,middle,middle,1,14,-7,1,0
10,moderately correlated,a little,often,1-2,small,1-3 hr,one weeks,uncertain,rewarding,very easy,difficult,between middle/high,between middle/high,between low/middle,high,1,8,-6,1,3
7,modestly correlated,often,always,1-2,small to medium,1-3 hr,three days,fifty-fifty,bored,very easy,moderate,low,low,between middle/high,low,1,8,-6,-1,-5
9,highly correlated,a little,always,1-2,medium,<1 hr,three days,no,interested,simple,simple,low,middle,high,between low/middle,1,12,-6,-1,-1
9,highly correlated,often,seldom,3-4,small to medium,<1 hr,three days,fully qualified,worried,simple,super hard,between low/middle,between middle/high,middle,high,1,10,-6,-2,2
7,moderately correlated,often,often,1-2,small,1-3 hr,one weeks,uncertain,motivated,difficult,difficult,high,middle,middle,between middle/high,1,10,-6,2,3
10,moderately correlated,uncertain,always,3-4,small,1-3 hr,three days,no,motivated,simple,simple,middle,between low/middle,low,low,1,8,-6,-1,-5
10,highly correlated,often,always,3-4,small,<1 hr,one weeks,no,interested,super hard,super hard,middle,middle,between low/middle,low,1,16,-6,-5,-3
9,moderately correlated,fifty-fifty,always,1-2,small to medium,<1 hr,one weeks,fifty-fifty,inspired,difficult,moderate,high,middle,between middle/high,between middle/high,1,12,-6,5,4
7,highly correlated,often,seldom,3-4,small,<1 hr,three days,no,worried,simple,very easy,middle,middle,high,low,1,8,-7,-5,0
10,highly correlated,fifty-fifty,always,3-4,small to medium,<1 hr,three days,roughly,impatient,super hard,super hard,middle,between middle/high,low,between middle/high,1,14,-6,-4,0
10,highly correlated,no,always,1-2,small,3-5 hr,three days,fifty-fifty,worried,super hard,difficult,low,between middle/high,between low/middle,low,1,8,-6,-3,-4
9,moderately correlated,often,always,3-4,small,<1 hr,one weeks,roughly,motivated,difficult,moderate,high,between low/middle,between low/middle,middle,1,14,-6,5,0
8,highly correlated,uncertain,always,1-2,small to medium,1-3 hr,three days,fully qualified,bored,super hard,simple,low,middle,high,between low/middle,1,8,-6,-2,-1
7,highly correlated,uncertain,always,1-2,small,3-5 hr,three days,no,motivated,very easy,simple,low,high,middle,high,1,8,-6,-2,2
10,moderately correlated,often,seldom,1-2,medium,<1 hr,three days,roughly,rewarding,difficult,simple,high,between low/middle,between middle/high,high,1,8,-6,4,4
10,highly correlated,fifty-fifty,often,3-4,small to medium,<1 hr,three days,no,impatient,very easy,simple,middle,between low/middle,high,between middle/high,1,12,-6,-4,2
10,highly correlated,often,often,1-2,small to medium,<1 hr,three days,fifty-fifty,impatient,simple,very easy,middle,between middle/high,between middle/high,low,1,14,-7,-2,0
4,moderately correlated,often,always,1-2,medium,<1 hr,three days,roughly,inspired,very easy,simple,low,between middle/high,low,between low/middle,1,8,-6,2,-4
